"SHARP ELECTRONIQUE DU CANADA LTEE","975664","LABELLE, MARC-ANDRÉ","ACHAT DE 2 IMPRIMANTES (1 POUR LE CENTRE DE DISTRIBUTION ET 1 POUR L'ADMINISTRATION)","SERVICE DE L'APPROVISIONNEMENT","ADMINISTRATION, FINANCES ET APPROVISIONNEMENT","3 651 $ "
"SHARP ELECTRONIQUE DU CANADA LTEE","943565","LEVEILLE, MARIE-LYNE","ACHAT MULTIFONCTION POUR 4E ÉTAGE - AFFAIRES JURIDIQUES","SERVICE DES AFFAIRES JURIDIQUES ET DE L’ÉVALUATION FONCIÈRE","HYG. DU MILIEU - SOUTIEN TECH. ET FONCT. - À RÉPARTIR","6 474 $ "
"SHARP ELECTRONIQUE DU CANADA LTEE","952661","RICHARD, LOUISE","MULTIFONCTIONS SHARP MXM565N","SERVICE DES FINANCES","ADMINISTRATION, FINANCES ET APPROVISIONNEMENT","4 902 $ "
"SHARP ELECTRONIQUE DU CANADA LTEE","974829","CARETTE, CLAUDE","PHOTOCOPIEUR IMPRIMANTE - MX5141N / CONCEPTION DES TRAVAUX (SALLE 7136)","SERVICE DES INFRASTRUCTURES, DE LA VOIRIE ET DES TRANSPORTS","TRANSPORT - SOUTIEN TECH. ET FONCT.- À RÉPARTIR","3 844 $ "
"SHARP ELECTRONIQUE DU CANADA LTEE","974829","CARETTE, CLAUDE","PHOTOCOPIEUR IMPRIMANTE - MX5141N / CONCEPTION DES TRAVAUX (SALLE 7136)","SERVICE DES INFRASTRUCTURES, DE LA VOIRIE ET DES TRANSPORTS","DÉPENSES INTERNES À IMPUTER AUX ACTIVITÉS D'INVESTISSEMENT - À REDISTRIBUER","3 359 $ "
"SHARP ELECTRONIQUE DU CANADA LTEE","962442","GAGNON, VALERIE","IMPRIMANTE DE BUREAU - PAULA XAVIER","SERVICE DES INFRASTRUCTURES, DE LA VOIRIE ET DES TRANSPORTS","TRANSPORT - SOUTIEN TECH. ET FONCT.- À RÉPARTIR","2 499 $ "
"SHARP ELECTRONIQUE DU CANADA LTEE","974563","SAVAGE, CLAUDE","PHOTOCOPIEUR MONOCHROME # MXM465N ( ALAIN DOIRON )","SERVICE DU MATÉRIEL ROULANT ET DES ATELIERS","SOUT. MAT. ET TECH. - GESTION DES VÉHICULES ET ATELIERS - À RÉPARTIR","3 216 $ "
"SHARP ELECTRONIQUE DU CANADA LTEE","977544","BRANCONNIER, SERGE","PHOTOCOPIEUR MULTIFONCTIONS MXM465N ( COPIE, SCAN ET FAX ) CESM","SERVICE DU MATÉRIEL ROULANT ET DES ATELIERS","SOUT. MAT. ET TECH. - GESTION DES VÉHICULES ET ATELIERS - À RÉPARTIR","2 941 $ "
"SHELL ENERGY NORTH AMERICA (CANADA) INC.","2357220","GELINAS, ISABELLE","TRANSPORT DU GAZ POUR LE MOIS D'AOÛT 2013","FACTURATION PÉRIODIQUE À RÉPARTIR",,"370 905 $ "
"SHELL ENERGY NORTH AMERICA (CANADA) INC.","23702891","GELINAS, ISABELLE","TRANSPORT DU GAZ POUR LE MOIS DE SEPTEMBRE 2013","FACTURATION PÉRIODIQUE À RÉPARTIR",,"358 374 $ "
"SHELL ENERGY NORTH AMERICA (CANADA) INC.","2384772","GELINAS, ISABELLE","GAZ OCTOBRE 2013","FACTURATION PÉRIODIQUE À RÉPARTIR SELON UTILISATION",,"374 343 $ "
"SHELL ENERGY NORTH AMERICA (CANADA) INC.","2398010","GELINAS, ISABELLE","GAZ NATUREL POUR NOVEMBRE 2013","SERA RÉPARTI ENTRE LES UTILISATEURS",,"355 001 $ "
"SHRED-IT INTERNATIONAL INC.","926989","MCSWEEN, BRIGITTE","SERVICE DE DESTRUCTION DE DOCUMENTS PAR SHRED-IT INTERNATIONAL INC. POUR LE CABINET DU MAIRE ET DU COMITÉ EXÉCUTIF DURANT L'ANNÉE 2014 / COMPTE NO. 11391321","DIRECTION GÉNÉRALE","CONSEIL ET SOUTIEN AUX INSTANCES POLITIQUES","3 734 $ "
"SHRED-IT INTERNATIONAL INC.","927589","RICHARD, LOUISE","DECHIQUETAGE DE DOCUMENTS - FINANCES","SERVICE DES FINANCES","ADMINISTRATION, FINANCES ET APPROVISIONNEMENT","6 223 $ "
"SIAL","2161600","PATENAUDE, NICOLE","BC 204073 - ARGILE, SILICONE, PLATRE PR MBERNARD","SERVICE DE LA QUALITÉ DE VIE","MUSÉES ET CENTRES D'EXPOSITION","7 595 $ "
"SIEMENS-TECHNOLOGIES DU BATIMENT LTEE","897805","LEFEBVRE, ROBERT","S TRUDEL BIBLIO. MAISONNEUVE BAT. 100, REMPLACEMENT DE PANNEAU ET DES COMPOSANTES TNC094128","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","4 353 $ "
"SIEMENS-TECHNOLOGIES DU BATIMENT LTEE","898412","LEFEBVRE, ROBERT","S TRUDEL TNC094129 REMPLACEMENT DE PANNEAU ET COMPOSANTES POUR BAT 0539 THÉATRE DE LA POUDIÈRE ÎLE STE-HÉLÈNE","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","2 559 $ "
"SIEMENS-TECHNOLOGIES DU BATIMENT LTEE","905160","LEFEBVRE, ROBERT","S TRUDEL REMPLACEMENT DES COMPOSANTES ARENA MAURICE RICHARD","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","4 725 $ "
"SIEMENS-TECHNOLOGIES DU BATIMENT LTEE","906133","LEFEBVRE, ROBERT","S TRUDEL TNC094127 ARÉNA MAURICE-RICHARD - REMPLACEMENT COMPOSANTES INCENDIES","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","4 601 $ "
"SIEMENS-TECHNOLOGIES DU BATIMENT LTEE","907796","LEVESQUE, PIERRE","CONTRAT DE SERVICE INSPECTION SYSTÈME D'INCENDIE INCLUANT INSPECTION ANNUELLE DES GICLEURS AUTOMATIQUES PÉRIODE DU 01-06-2013 AU 31-05-2014 AU CENTRE RÉCRÉATIF RDP","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","2 172 $ "
"SIEMENS-TECHNOLOGIES DU BATIMENT LTEE","936947","LEVESQUE, PIERRE","PROPOSITION DU 11-02-14 - CENTRE RÉCRÉATIF RIVIÈRE-DES-PRAIRIES (0321) - 7650, BOUL. MAURICE-DUPLESSIS - CORRECTION DES ANOMALIES ET REMARQUES GICLEURS SUITE À UNE INSPECTION - 1 SOUMISSION","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","8 656 $ "
"SIEMENS-TECHNOLOGIES DU BATIMENT LTEE","92423346","GONZALEZ, ANA","BC 203727 - ENTRETIEN","SERVICE DE LA QUALITÉ DE VIE","MUSÉES ET CENTRES D'EXPOSITION","2 283 $ "
"SIGNAL PRO","946856","LÊ, SON-THU","SOUMISSION DU 4 FÉVRIER 2014 - ACHAT D'UN ÉQUIPEMENT D'OPTIMISATION ET D'AMPLIFICATION RADIO POUR LE CGMU","SERVICE DES INFRASTRUCTURES, DU TRANSPORT ET DE L'ENVIRONNEMENT","TRANSPORT - SOUTIEN TECH. ET FONCT.- À RÉPARTIR","4 383 $ "
"SIGNALISATION 10-10","975636","BISSONNETTE, DANIEL","LOCATION DE BARRICADES POUR LA FÊTE DE LA SAINT-JEAN","SERVICE DE LA CULTURE","AUTRES - ACTIVITÉS RÉCRÉATIVES","7 604 $ "
"SIGNALISATION ROUTIERE DU QUEBEC INC.","902915","DUCAS, SYLVAIN","ACCORDER UN CONTRAT À SIGNALISATION ROUTIÈRE DU QUÉBEC INC. POUR LA LOCATION ET L'INSTALLATION DE DEUX PANNEAUX À MESSAGES VARIABLES AUX ABORDS DU VIADUC ROCKLAND","SERVICE DE LA MISE EN VALEUR DU TERRITOIRE","CONSTRUCTION D'INFRASTRUCTURES DE VOIRIE","3 849 $ "
"SIGNALISATION ROUTIERE DU QUEBEC INC.","902915","BERGERON, FRANCOIS","ACCORDER UN CONTRAT À SIGNALISATION ROUTIÈRE DU QUÉBEC INC. POUR LA LOCATION ET L'INSTALLATION DE DEUX PANNEAUX À MESSAGES VARIABLES AUX ABORDS DU VIADUC ROCKLAND","SERVICE DE LA MISE EN VALEUR DU TERRITOIRE","CONSTRUCTION D'INFRASTRUCTURES DE VOIRIE","3 849 $ "
"SIGNALISATION ROUTIERE DU QUEBEC INC.","955741","RENAUD, LYSE","TRANSPORT ET INSTALLATION DE GLISSIÈRES  / AUTOROUTE BONAVENTURE (STRUCTURE 81-5130D)","SERVICE DES INFRASTRUCTURES, DE LA VOIRIE ET DES TRANSPORTS","TRANSPORT - SOUTIEN TECH. ET FONCT.- À RÉPARTIR","4 957 $ "
"SIGNALISATION ROUTIERE DU QUEBEC INC.","905882","SARRAZIN, MARC","INSTALLATION ET MAINTIEN DE JERSEY DEVANT LE PARAPET DE L'AUTOROUTE BONAVENTURE, STRUCTURE 81-5130D.","SERVICE DES INFRASTRUCTURES, DU TRANSPORT ET DE L'ENVIRONNEMENT","TRANSPORT - SOUTIEN TECH. ET FONCT.- À RÉPARTIR","11 771 $ "
"SIGNALISATION ROUTIERE DU QUEBEC INC.","915999","AYLWIN, CHANTAL","INSTALLATION DE 47 JERSEYS SUR LE VIADUC CHAMP D'EAU (81-1204) AU-DESSUS DE L'AUTOROUTE 40.","SERVICE DES INFRASTRUCTURES, DU TRANSPORT ET DE L'ENVIRONNEMENT","TRANSPORT - SOUTIEN TECH. ET FONCT.- À RÉPARTIR","5 010 $ "
"SIGNALISATION ROUTIERE DU QUEBEC INC.","916124","SARRAZIN, MARC","REMPLACEMENT D'UN ATTÉNUATEUR D'IMPACT SUR L'AUTOROUTE BONAVENTURE (81-5130D).","SERVICE DES INFRASTRUCTURES, DU TRANSPORT ET DE L'ENVIRONNEMENT","TRANSPORT - SOUTIEN TECH. ET FONCT.- À RÉPARTIR","7 401 $ "
"SIGNALISATION S.A.I.C. INC","973119","LANGLOIS, PAUL","PANONCEAU «VILLE DE MONTRÉAL»","SERVICE DE LA CULTURE","AUTRES - ACTIVITÉS CULTURELLES","3 122 $ "
"SIGNALISATION S.A.I.C. INC","889856","ADAM, RICHARD","PROJET MONUMENT À JACQUES-CARTIER","SERVICE DE LA QUALITÉ DE VIE","AUTRES - ACTIVITÉS CULTURELLES","2 549 $ "
"SIGNALISATION S.A.I.C. INC","891737","ADAM, RICHARD","POTEAU - CULTURE MONTRÉAL","SERVICE DE LA QUALITÉ DE VIE","AUTRES - ACTIVITÉS CULTURELLES","23 755 $ "
"SIGNALISATION VER-MAC INC.","925049","LÊ, SON-THU","PROJET 54100 - ACHAT DE PANNEAU À MESSAGE VARIABLE ( ÉQUIPE MOBILE ) INCLUANT BLUETOOTH, MODEM ET BATERIES","SERVICE DES INFRASTRUCTURES, DU TRANSPORT ET DE L'ENVIRONNEMENT","SIGNALISATION LUMINEUSE","22 505 $ "
"SIG-NATURE","908103","LEVESQUE, PIERRE","CONTRAT DE DÉNEIGEMENT (1ER VERSEMENT DE 2) POUR LE CHAMP DE TIR MÉGANTIC LAVAL","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","4 377 $ "
"SIG-NATURE","918160","LEVESQUE, PIERRE","DÉNEIGEMENT (2E VERSEMENT DE 2) POUR PORTION 2013 AU CHAMP DE TIR MÉGANTIC","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","4 377 $ "
"SIGNATURE DESIGN COMMUNICATION","900575","LANDRY, JOHANNE","# 1312 WAY-FINDING","SERVICE DE LA QUALITÉ DE VIE","MUSÉES ET CENTRES D'EXPOSITION","4 250 $ "
"SIGNATURE DESIGN COMMUNICATION","917416","LANDRY, JOHANNE","EFFECTUER L'ANALYSE DU PARCOURS JARDIN DE LUMIÈRES AU P.JAPONAIS","SERVICE DE LA QUALITÉ DE VIE","MUSÉES ET CENTRES D'EXPOSITION","4 250 $ "
"SIGNATURE DESIGN COMMUNICATION","951040","LACOMBE, PIERRE","SIGNALISATION DU PROJET JARDINS DE LUMIÈRE","SERVICE DE L'ESPACE POUR LA VIE","MUSÉES ET CENTRES D'EXPOSITION","20 000 $ "
"SIGNATURE DESIGN COMMUNICATION","979962","PRONOVOST, RENE","MANDAT DE SIGNALISATION POUR LA PLACE MARIE-VICTORIN, LA ROSERAIE,  LE JARDIN AQUATIQUE ET LES ABORDS DE L'INSECTARIUM","SERVICE DE L'ESPACE POUR LA VIE","MUSÉES ET CENTRES D'EXPOSITION","7 600 $ "
"SIGNEL SERVICES INC","920708","LUU, VINH","ENSEIGNES, POTEAUX ET BASES - SOUM # 51933","COMMISSION DES SERVICES ÉLECTRIQUES DE MONTRÉAL","AUTRES - AMÉN., URB. ET DÉVELOPPEMENT","2 217 $ "
"SIGNEL SERVICES INC","897490","DESJARDINS, DANIEL","ACHAT, INSTALLATION & DÉSINSTALLATION DE 4 PANNEAUX DE SIGNALISATION","SERVICE DE LA QUALITÉ DE VIE","GESTION INSTALL. - CENTRES COMMUN. - ACT.RÉCRÉATIVES","3 520 $ "
"SIGNEL SERVICES INC","905792","BOISVERT, SUZANNE","5 BARRICADES DE BÉTON 72"" X 24"" 1/4 X 32"" 1/2","SERVICE DE LA QUALITÉ DE VIE","MUSÉES ET CENTRES D'EXPOSITION","2 750 $ "
"SIGNEL SERVICES INC","938954","BEAULIEU, JACQUES","ACHAT D'UNE FLÈCHE ET INSTALLATION SUR UN VÉHICULE","SERVICE DE LA QUALITÉ DE VIE","ENTRETIEN ET AMÉNAG. DES PARCS ET TERRAINS DE JEUX","3 955 $ "
"SIGNOTECH INC.","888609","SIOUDA, ABDELHAK","INVENTAIRE PIÈCES DE REMPLACEMENT, POUR LES MAGASINS SCARM","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","MATÉRIAUX DE FABRICATION ET USINAGE","3 305 $ "
"SIGNOTECH INC.","891378","SIOUDA, ABDELHAK","INVENTAIRE PIÈCES DE REMPLACEMENT, POUR LES MAGASINS SCARM","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","MATÉRIAUX DE FABRICATION ET USINAGE","6 109 $ "
"SIGNOTECH INC.","901794","SIOUDA, ABDELHAK","INVENTAIRE PIÈCES DE REMPLACEMENT, POUR LES MAGASINS SCARM","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","MATÉRIAUX DE FABRICATION ET USINAGE","7 477 $ "
"SIGNOTECH INC.","906811","L'ABBE, JEAN-MARC","INVENTAIRE PIÈCES DE REMPLACEMENT, POUR LES MAGASINS SCARM","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","MATÉRIAUX DE FABRICATION ET USINAGE","12 759 $ "
"SIGNOTECH INC.","912572","CHRETIEN, NORMAND","INVENTAIRE PIÈCES DE REMPLACEMENT, POUR LES MAGASINS SCARM","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","MATÉRIAUX DE FABRICATION ET USINAGE","13 473 $ "
"SIGNOTECH INC.","928063","MASSE, CAROLINE","INVENTAIRE PIÈCES DE REMPLACEMENT, POUR LES MAGASINS SCARM","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","MATÉRIAUX DE FABRICATION ET USINAGE","8 642 $ "
"SIGNOTECH INC.","941664","JOLY, LINDA","FEUILLE D'ALUMINIUM NIVELÉE SCARM","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","MATÉRIAUX DE FABRICATION ET USINAGE","5 515 $ "
"SIGNOTECH INC.","944110","JOLY, LINDA","PIÈCES: FEUILLES D'ALUMINIUM NIVELEES SCARM","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","MATÉRIAUX DE FABRICATION ET USINAGE","7 432 $ "
"SIGNOTECH INC.","970133","CHAURET, DANIELLE","INVENTAIRE PIÈCES DE REMPLACEMENT, POUR LES MAGASINS SCARM","SERVICE DE L'APPROVISIONNEMENT","MATÉRIAUX DE FABRICATION ET USINAGE","11 826 $ "
"SIGNOTECH INC.","978925","COUTURE, DIANE","INVENTAIRE PIÈCES DE REMPLACEMENT POUR LES MAGASINS SCARM","SERVICE DE L'APPROVISIONNEMENT","MATÉRIAUX DE FABRICATION ET USINAGE","6 806 $ "
"SIGNOTECH INC.","972481","CHRETIEN, NORMAND","ACHATS DE FEUILLES ALUMINIUM POUR SÉRIGRAPHIE","SERVICE DE L'APPROVISIONNEMENT","MATÉRIAUX DE FABRICATION ET USINAGE","16 272 $ "
"SIGNOTECH INC.","ROS740044","BRANCONNIER, SERGE","FEUILLE D'ALUMINIUM POUR SÉRIGRAPHIE","SERVICE DU MATÉRIEL ROULANT ET DES ATELIERS","SOUT. MAT. ET TECH. - GESTION DES VÉHICULES ET ATELIERS - À RÉPARTIR","12 640 $ "
"SIGNUM DESIGN","889766","DEVEAU, DOMINIQUE","RENOUVELLEMENT DE LA MAINTENANCE ANNUELLE MAPINFO PROFESSIONNEL DU 30 OCT. 2013 AU 31 OCT.2014","SERVICE DE L'EAU","HYG. DU MILIEU - SOUTIEN TECH. ET FONCT. - À RÉPARTIR","10 239 $ "
"SIGNUM DESIGN","895444","HACHEY, NORMAND","RENOUVELLEMENT DE LA MAINTENCANCE ANNUELLE DU LOGICIEL MAPINFO PROFESSIONNEL DU 14 NOV. 2013 AU 31 OCT. 201","SERVICE DE L'EAU","HYG. DU MILIEU - SOUTIEN TECH. ET FONCT. - À RÉPARTIR","3 108 $ "
"SIGNUM DESIGN","898435","DEVEAU, DOMINIQUE","FORMATION DE 2 JOURS LOGICIEL MAP INFO PROFESSIONNEL VERSION 12","SERVICE DE L'EAU","HYG. DU MILIEU - SOUTIEN TECH. ET FONCT. - À RÉPARTIR","3 013 $ "
"SIGNUM DESIGN","951723","DEVEAU, DOMINIQUE","RENOUVELLEMENT DE LA MAINTENANCE ANNUELLE MAPINFO PROFESSIONNEL DU 4 MAI 2014 AU 3 MAI 2015","SERVICE DE L'EAU","HYG. DU MILIEU - SOUTIEN TECH. ET FONCT. - À RÉPARTIR","8 131 $ "
"SIGNUM DESIGN","941714","BROUSSEAU, DANIEL","MAINTENANCE DE 16 LICENCES DU LOGICIEL MAPINFO PRO POUR L'ÉQUIPE  D'INVENTAIRE-EAU (JEAN PELLERIN)","SERVICE DES INFRASTRUCTURES, DU TRANSPORT ET DE L'ENVIRONNEMENT","TRANSPORT - DIR. ET ADMIN. - À RÉPARTIR","8 115 $ "
"SILENCIEUX FEDERAL MUFFLER","CAR724755","BRANCONNIER, SERGE","ACHAT DE MATÉRIEL DE SYSTÈME D'ÉCHAPPEMENT POUR AMÉNAGEMENT DE LA NOUVELLE BAIE DE SERVICE AU GARAGE DU CLOS ST-MICHEL","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES VÉHICULES ET ATELIERS - À RÉPARTIR","3 219 $ "
"SILENCIEUX FEDERAL MUFFLER","DIC722117","BRANCONNIER, SERGE","EQUIPEMENT DE GARAGE","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES VÉHICULES ET ATELIERS - À RÉPARTIR","6 450 $ "
"SILENCIEUX FEDERAL MUFFLER","DIC723674","BRANCONNIER, SERGE","TUYAUX ÉCHAPPEMENT POUR GARAGE","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES VÉHICULES ET ATELIERS - À RÉPARTIR","3 376 $ "
"SILENCIEUX FEDERAL MUFFLER","MAD722890","BRANCONNIER, SERGE","TUYAU POUR EVACUATION D' EXHAUST POUR GARAGE MADISON","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES VÉHICULES ET ATELIERS - À RÉPARTIR","3 221 $ "
"SILVANA NAHMAN","955564","CECILE, DANIELLE","CONTRAT DE SERVICES PROFESSIONNELS POUR FAIRE DE LA RÉDACTION, CONCEPTION, RÉVISION ET TRADUCTION DE DOCUMENTS ET OUTILS DE COMMUNICATION POUR LA DIRECTION DE L'HABITATION.","SERVICE DE LA MISE EN VALEUR DU TERRITOIRE","AUTRES BIENS - RÉNOVATION URBAINE","9 020 $ "
"SIMAC ELECTROTECHNIQUE INC.","955482","THIFFAULT, YVAN","ÉLECTRICITÉ,H-TENSION, PEP, BAT 095 C.C.ROBILLARD,VÉRIFICATION DE RELAIS DE PROTECTION DE DISJONCTEURS 600W, TREMBLAY ERIC","SERVICE DE LA GESTION ET DE LA PLANIFICATION IMMOBILIÈRE","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","3 183 $ "
"SIMACTIVE INC.","962376","PELLERIN, JEAN","1 AN DE SUPPORT COMPLET ET MISES À JOUR SUR LICENCE CORRELATOR3D (RICHARD MONGEAU)","SERVICE DES INFRASTRUCTURES, DE LA VOIRIE ET DES TRANSPORTS","TRANSPORT - DIR. ET ADMIN. - À RÉPARTIR","3 557 $ "
"SIMACTIVE INC.","962376","PELLERIN, JEAN","1 AN DE SUPPORT COMPLET ET MISES À JOUR SUR LICENCE CORRELATOR3D (RICHARD MONGEAU)","SERVICE DES INFRASTRUCTURES, DE LA VOIRIE ET DES TRANSPORTS","TRANSPORT - SOUTIEN TECH. ET FONCT.- À RÉPARTIR","2 665 $ "
"SIMFER INDUSRIEL INC.","RMI0000996520001021770003","DÉTAILS PROVENANT DU SYSTÈME DE GESTION DES RÉCLAMATIONS","SIMFER INDUSRIEL INC.\PAIEMENT D'UNE INDEMNITÉ POUR LE DOSSIER 14-002316, SUR LA LISTE DE PAIEMENT 1408IC005 (CORPO)","SERVICE DES AFFAIRES JURIDIQUES","AUTRES - ADMINISTRATION GÉNÉRALE","10 818 $ "
"SIMPLECHIC TRAITEUR INC.","899294","ALLARD, PATRICE","SIMPLÉCHIC TRAITEUR - SERVICE DE TRAITEUR REQUIS POUR UN ÉVÉNEMENT (PETIT DÉJEUNER MADA).","SERVICE DE LA QUALITÉ DE VIE","DÉVELOPPEMENT SOCIAL","2 510 $ "
"SIMPLEX GRINNELL DIVISION DE TYCO LTEE","983287","LEFEBVRE, ROBERT","PAIMENT DE LA FACTURE 80281292 APPEL DE SERVICE 29443370 À LA BIBLIOTHÈQUE PETITE PATRIE POUR BASSE PRESSION DU SYSTÈME À AIR, REMPLACEMENT DU RÉGULATEUR.","SERVICE DE LA GESTION ET DE LA PLANIFICATION IMMOBILIÈRE","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES GPI - À RÉPARTIR","3 020 $ "
"SIMPLEX GRINNELL DIVISION DE TYCO LTEE","69602956","DAOUST, LINDA","BC203887 / LOCATION ÉQUIPEMENT POUR ENTRETIEN","SERVICE DE LA QUALITÉ DE VIE","MUSÉES ET CENTRES D'EXPOSITION","2 488 $ "
"SIMPLEX GRINNELL DIVISION DE TYCO LTEE","69771233","GONZALEZ, ANA","BC 204302 ENTRETIEN","SERVICE DE LA QUALITÉ DE VIE","MUSÉES ET CENTRES D'EXPOSITION","3 969 $ "
"SIMPLEX GRINNELL DIVISION DE TYCO LTEE","69767174","GONZALEZ, ANA","BC 204445 ENTRETIEN","SERVICE DE LA QUALITÉ DE VIE","MUSÉES ET CENTRES D'EXPOSITION","3 455 $ "
"SIMPLEX GRINNELL DIVISION DE TYCO LTEE","69404890","GONZALEZ, ANA","BC202394 ENTRETIEN","SERVICE DE LA QUALITÉ DE VIE","MUSÉES ET CENTRES D'EXPOSITION","2 636 $ "
"SIMPLICOM","911341","ALLARD, PATRICE","SIMPLIFICATION DE TEXTES - ACCESSIBILITÉ UNIVERSELLE : BILAN DES RÉALISATIONS DE 2012 ET MISE À JOUR DU PLAN D'ACTION 2012-2014 DE LA VILLE DE MONTRÉAL","SERVICE DE LA QUALITÉ DE VIE","DÉVELOPPEMENT SOCIAL","2 137 $ "
"SINISTRE MONTREAL","921810","NADEAU, MICHEL G","BARRICADAGE D'UNE MAISON AU 4000, RUE ST-PATRICK, ET DE 2 BATIMENTS, SITUES AU 4845 ET 4865, AVENUE DUNN DANS L'ARRONDISSEMENT SUD-OUEST.","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","INDUSTRIES ET COMMERCES - PROM. ET DÉV.ÉCON.","2 253 $ "
"SINISTRE MONTREAL","943848","THIFFAULT, YVAN","MENUISERIE (TRAVAUX DE BARRICADAGE EFFECTUÉS EN URGENCE À PLUSIEURS BÂTIMENTS PRIVÉS, SINISTRE MONTREAL) - TRUDEL, DANIEL","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","3 294 $ "
"SINISTRE MONTREAL","949090","NADEAU, MICHEL G","NETTOYAGE SUITE À UN DÉGÂT D'EAU SUR DEUX ÉTAGES. BÂTIMENT SIS AU 12131-39IÈME AVENUE, BOIS-DE-BOULOGNE DANS L'ARRONDISSEMENT AHUNTSIC-CARTIERVILLE.","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","INDUSTRIES ET COMMERCES - PROM. ET DÉV.ÉCON.","3 705 $ "
"SINISTRE MONTREAL","959086","DESJARDINS, SYLVIE","CONTRAT D'UN AN - ENTRETIEN ET NETTOYAGE DU BÂTIMENT SIS AU 12131 39 AVE BOIS-DE-BOULOGNE, ARRONDISSEMENT AHUNTSIC-CARTIERVILLE. REF: 31H12-005-1549-05, MANDAT 14-0134X.","SERVICE DE LA GESTION ET DE LA PLANIFICATION IMMOBILIÈRE","INDUSTRIES ET COMMERCES - PROM. ET DÉV.ÉCON.","20 742 $ "
"SINISTRE MONTREAL","977003","THIFFAULT, YVAN","MENUISERIE - DÉPANNAGE - BARRICADAGE À DIVERS ENDROITS - TRUDEL, DANIEL","SERVICE DE LA GESTION ET DE LA PLANIFICATION IMMOBILIÈRE","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","2 057 $ "
"SIR SOLUTIONS.","983890","DION, GEORGES","FRAIS DE SUPPORT TÉLÉPHONIQUE 16 CAISSES ENREGISTREUSES POUR 10 ARRONDISSEMENT - CONTRAT DU 01-01-2014 AU 31/12/2014 (MODE DE FACTURATION MODIFIÉ). *RÉF. ALAIN RUEL.","SERVICE DES TECHNOLOGIES DE L'INFORMATION","GESTION DE L'INFORMATION","5 056 $ "
